LOG ANULĂRI - Financial Engine
================================================================================
2026-02-01 23:20:46 | ORD-2 | TSLA | Expirat după 10 secunde
2026-02-01 23:20:46 | ORD-3 | MSFT | Expirat după 10 secunde
2026-02-01 23:20:46 | ORD-4 | TSLA | Expirat după 10 secunde
2026-02-01 23:20:46 | ORD-5 | GOOGL | Expirat după 10 secunde
2026-02-01 23:20:48 | ORD-6 | AAPL | Expirat după 10 secunde
2026-02-01 23:20:48 | ORD-7 | AMZN | Expirat după 10 secunde
2026-02-01 23:20:48 | ORD-9 | GOOGL | Expirat după 10 secunde
2026-02-01 23:20:48 | ORD-11 | GOOGL | Expirat după 10 secunde
2026-02-01 23:20:48 | ORD-14 | GOOGL | Expirat după 10 secunde
2026-02-01 23:20:50 | ORD-18 | TSLA | Expirat după 10 secunde
2026-02-01 23:20:50 | ORD-19 | AAPL | Expirat după 10 secunde
2026-02-01 23:20:50 | ORD-20 | TSLA | Expirat după 10 secunde
2026-02-01 23:20:50 | ORD-21 | AMZN | Expirat după 10 secunde
2026-02-01 23:20:50 | ORD-22 | AAPL | Expirat după 10 secunde
2026-02-01 23:20:50 | ORD-23 | AAPL | Expirat după 10 secunde
2026-02-01 23:20:50 | ORD-24 | AAPL | Expirat după 10 secunde
2026-02-01 23:20:52 | ORD-27 | GOOGL | Expirat după 10 secunde
2026-02-01 23:20:52 | ORD-33 | AMZN | Expirat după 10 secunde
2026-02-01 23:20:54 | ORD-37 | AMZN | Expirat după 10 secunde
2026-02-01 23:20:54 | ORD-38 | GOOGL | Expirat după 10 secunde
2026-02-01 23:20:54 | ORD-43 | MSFT | Expirat după 10 secunde
2026-02-01 23:20:54 | ORD-44 | AMZN | Expirat după 10 secunde
2026-02-01 23:20:56 | ORD-46 | TSLA | Expirat după 10 secunde
2026-02-01 23:20:56 | ORD-48 | GOOGL | Expirat după 10 secunde
2026-02-01 23:20:56 | ORD-51 | TSLA | Expirat după 10 secunde
2026-02-01 23:20:56 | ORD-52 | AMZN | Expirat după 10 secunde
2026-02-01 23:20:58 | ORD-56 | GOOGL | Expirat după 10 secunde
2026-02-01 23:20:58 | ORD-57 | GOOGL | Expirat după 10 secunde
2026-02-01 23:20:58 | ORD-58 | GOOGL | Expirat după 10 secunde
2026-02-01 23:20:58 | ORD-59 | MSFT | Expirat după 10 secunde
2026-02-01 23:20:58 | ORD-62 | MSFT | Expirat după 10 secunde
2026-02-01 23:20:58 | ORD-63 | AAPL | Expirat după 10 secunde
2026-02-01 23:20:58 | ORD-64 | AAPL | Expirat după 10 secunde
2026-02-01 23:21:00 | ORD-66 | GOOGL | Expirat după 10 secunde
2026-02-01 23:21:00 | ORD-69 | AAPL | Expirat după 10 secunde
2026-02-01 23:21:00 | ORD-74 | AMZN | Expirat după 10 secunde
2026-02-01 23:21:02 | ORD-79 | AMZN | Expirat după 10 secunde
2026-02-01 23:21:02 | ORD-82 | AAPL | Expirat după 10 secunde
2026-02-01 23:21:02 | ORD-83 | AMZN | Expirat după 10 secunde
2026-02-01 23:21:02 | ORD-84 | GOOGL | Expirat după 10 secunde
2026-02-01 23:21:04 | ORD-86 | AAPL | Expirat după 10 secunde
2026-02-01 23:21:04 | ORD-91 | AMZN | Expirat după 10 secunde
2026-02-01 23:21:04 | ORD-94 | MSFT | Expirat după 10 secunde
2026-02-01 23:21:06 | ORD-105 | AMZN | Expirat după 10 secunde
2026-02-01 23:21:08 | ORD-106 | AMZN | Expirat după 10 secunde
2026-02-01 23:21:08 | ORD-108 | AAPL | Expirat după 10 secunde
2026-02-01 23:21:08 | ORD-111 | GOOGL | Expirat după 10 secunde
2026-02-01 23:21:08 | ORD-114 | MSFT | Expirat după 10 secunde
2026-02-01 23:21:10 | ORD-116 | MSFT | Expirat după 10 secunde
2026-02-01 23:21:10 | ORD-118 | MSFT | Expirat după 10 secunde
2026-02-01 23:21:12 | ORD-129 | MSFT | Expirat după 10 secunde
2026-02-01 23:21:14 | ORD-136 | MSFT | Expirat după 10 secunde
2026-02-01 23:21:14 | ORD-141 | MSFT | Expirat după 10 secunde
2026-02-01 23:21:16 | ORD-147 | AMZN | Expirat după 10 secunde
2026-02-01 23:21:16 | ORD-148 | GOOGL | Expirat după 10 secunde
2026-02-01 23:21:16 | ORD-150 | AAPL | Expirat după 10 secunde
2026-02-01 23:21:16 | ORD-152 | GOOGL | Expirat după 10 secunde
2026-02-01 23:21:18 | ORD-157 | AAPL | Expirat după 10 secunde
2026-02-01 23:21:20 | ORD-169 | MSFT | Expirat după 10 secunde
2026-02-01 23:21:22 | ORD-177 | AMZN | Expirat după 10 secunde
2026-02-01 23:21:24 | ORD-186 | GOOGL | Expirat după 10 secunde
2026-02-01 23:21:26 | ORD-197 | MSFT | Expirat după 10 secunde
2026-02-01 23:21:28 | ORD-208 | MSFT | Expirat după 10 secunde
2026-02-01 23:21:28 | ORD-209 | GOOGL | Expirat după 10 secunde
2026-02-01 23:21:28 | ORD-210 | GOOGL | Expirat după 10 secunde
2026-02-01 23:21:30 | ORD-220 | AAPL | Expirat după 10 secunde
2026-02-01 23:21:32 | ORD-226 | AAPL | Expirat după 10 secunde
2026-02-01 23:21:32 | ORD-230 | MSFT | Expirat după 10 secunde
2026-02-01 23:21:32 | ORD-231 | MSFT | Expirat după 10 secunde
2026-02-01 23:21:34 | ORD-241 | AMZN | Expirat după 10 secunde
