LOG EXECUȚII - Financial Engine
================================================================================
2026-02-01 22:42:37 | 2026-02-01T22:42:37.493959100 | Order: ORD-2 | AMZN | BUY_LIMIT | Vol: 19.31 | Price: 3299.34 | Comision: 318.55
2026-02-01 22:42:37 | 2026-02-01T22:42:37.510429 | Order: ORD-3 | AAPL | BUY_LIMIT | Vol: 44.85 | Price: 153.55 | Comision: 34.44
2026-02-01 22:42:37 | 2026-02-01T22:42:37.515455900 | Order: ORD-5 | TSLA | SELL_LIMIT | Vol: 11.66 | Price: 882.97 | Comision: 51.50
2026-02-01 22:42:37 | 2026-02-01T22:42:37.518423600 | Order: ORD-4 | AMZN | SELL_LIMIT | Vol: 68.91 | Price: 3299.34 | Comision: 1136.80
2026-02-01 22:42:39 | 2026-02-01T22:42:39.485891200 | Order: ORD-6 | AAPL | SELL_LIMIT | Vol: 49.09 | Price: 153.15 | Comision: 37.59
2026-02-01 22:42:39 | 2026-02-01T22:42:39.490106100 | Order: ORD-7 | AAPL | SELL_LIMIT | Vol: 27.49 | Price: 153.15 | Comision: 21.05
2026-02-01 22:42:39 | 2026-02-01T22:42:39.506467600 | Order: ORD-8 | AAPL | BUY_LIMIT | Vol: 49.12 | Price: 153.15 | Comision: 37.61
2026-02-01 22:42:39 | 2026-02-01T22:42:39.510954600 | Order: ORD-9 | AAPL | SELL_LIMIT | Vol: 68.61 | Price: 153.15 | Comision: 52.54
2026-02-01 22:42:39 | 2026-02-01T22:42:39.517904400 | Order: ORD-10 | GOOGL | BUY_LIMIT | Vol: 53.98 | Price: 2797.85 | Comision: 755.14
2026-02-01 22:42:39 | 2026-02-01T22:42:39.521912800 | Order: ORD-11 | AAPL | SELL_LIMIT | Vol: 35.50 | Price: 153.15 | Comision: 27.19
2026-02-01 22:42:39 | 2026-02-01T22:42:39.525910100 | Order: ORD-12 | GOOGL | SELL_LIMIT | Vol: 80.43 | Price: 2797.85 | Comision: 1125.20
2026-02-01 22:42:39 | 2026-02-01T22:42:39.533265400 | Order: ORD-13 | GOOGL | SELL_LIMIT | Vol: 55.83 | Price: 2797.85 | Comision: 780.96
2026-02-01 22:42:39 | 2026-02-01T22:42:39.537260500 | Order: ORD-14 | TSLA | SELL_LIMIT | Vol: 19.80 | Price: 886.04 | Comision: 87.74
